A Bad Haircut	The perfect start to a bad hair day. [Core Expansion 1, Party Box]
A Broken Leg	I was riding my bike when I hit this big rock . . . [Junior Set (1st) & (2nd)]
A Bull Fight	Also known as "la fiesta brava" (the brave festival). A whole lot of bull.. [Core Expansion 2, Party Box]
A Cabin In The Woods	Henry David Thoreau went to Walden Pond for two years. All we're asking for is one lousy weekend! [Core Expansion 3, Party Box Expansion 1]
A Can Of Worms	Now you've opened it. [Core Expansion 3, Party Box Expansion 1]
A Car Crash	"Hey, it was an accident!" [Core Set, Party Box]
A Cheap Motel	No charge for the cockroaches. [Core Set, Party Box]
A Crawl Space	Where you'll find something the cat dragged in. [Core Set, Party Box]
A Desert	Hot, dry and sandy. [Junior Set (1st) & (2nd)]
A Dozen Red Roses	When eleven just won't do. [Core Expansion 1, Party Box]
A Few Good Men	Is that too much to ask? [Core Expansion 3, Party Box Expansion 1]
A Flat Tire	"Whaddya mean, there's no spare?" [Core Set, Party Box]
A Fool & His Money	Are soon parted... especially on Wall Street. [Core Expansion 4, Party Box Expansion 1]
A French Maid	Ooh, la, la! [Core Expansion 3, Party Box Expansion 1]
A Full Moon	"When the moon hits your eye like a big pizza pie, that's amore!" -Dean Martin [Core Expansion 1, Party Box]
A Giant	A very large and powerful person. When Jack climbed the bean stalk, he met a hungry giant. [Kids Set]
A Haunted House	Maybe if people would STOP building their dream homes on ancient burial grounds ... [Core Expansion 1, Party Box]
A High School Bathroom	"Fools rush in where angels fear to tread" -Alexander Pope [Core Set, Party Box]
A Hole In One	Par for the course? [Core Expansion 3, Party Box Expansion 1]
A Honeymoon	America's top honeymoon spots are Hawaii, Niagara Falls, Las Vegas and Florida. You can get there by air, land, sea ... or shotgun. [Core Set, Party Box]
A Leaky Boat	Time to bail out. [Junior Set (2nd)]
A Little White Lie	If you can't say anything nice . . . [Core Expansion 3, Party Box Expansion 1]
A Locker Room	Steamy atmosphere ... bawdy humor ... sweaty bodies ... HEY! Sounds like Cable TV! [Core Set, Party Box]
A Mermaid	An imaginary creature with the upper body of a woman and the tail of a fish. [Junior Set (2nd)]
A Million Dollars	If I had a million dollars. . . [Core Expansion 3, Party Box Expansion 1]
A Morgue	"Given strange eons, even death may die..." -H.P. Lovecraft [Core Set, Party Box]
A Mummy	"Walk like an Egyptian." - The Bangles [Core Expansion 3, Party Box Expansion 1]
A Nine Iron	A golf club best used on short shots or large opponents. [Core Expansion 2, Party Box]
A Piano	A piano is a percussion instrument, like a drum or cymbal. [Junior Set (2nd)]
A Prince	Some are real, but most are just in fairy tales. [Junior Set (2nd)]
A Queen	A wicked queen tried to kill Snow White with a poison apple. [Kids Set]
A Ringing In My Ears	Answer that, would'ya? [Core Expansion 3, Party Box Expansion 1]
A School Bus	The only thing we have to fear is fear itself. -Franklin D. Roosevelt [Core Expansion 1, Party Box]
A School Cafeteria	Food fight!. [Core Expansion 2, Party Box]
A Spare Tire	The good news is: we have a spare tire . . . [Core Expansion 3, Party Box Expansion 1]
A Sunrise	"But he who kisses the joy as it flies/ Lives in eternity's sunrise." -William Blake [Core Set, Party Box]
A Sunset	The sun never set on the British Empire ... because God didn't trust the English in the dark. [Core Set, Party Box]
A Swimming Pool	No diving in the shallow end. [Junior Set (1st) & (2nd)]
A Tree House	Your first high-rise apartment. [Core Expansion 1, Party Box]
A Used Car Lot	One of the most honest places around. Honest ... [Core Set, Party Box]
Abbot & Costello	Comedy team who had everyone guessing - "Who's on first?" [Core Expansion 4, Party Box Expansion 1]
Abraham Lincoln	1809-65, 16th U.S. president, led the Union to victory in the American Civil War and abolished slavery. Was assassinated for his efforts. [Core Set, Party Box]
Actors	If they're really good, you can't tell they're acting. [Junior Set (2nd)]
Adam & Eve	A relationship of Biblical proportions. [Core Expansion 4, Party Box Expansion 1]
Adam Sandler	1966- , American comedian, film star, and Saturday Night Live alumnus. Genius or goofball - you make the call. [Core Expansion 2, Party Box]
Adolph Hitler	1889-1945, turned Germany into a militarized dictatorship, caused the slaughter of millions and launched World War II. [Core Set, Party Box]
AIDS	Acquired Immune Deficiency Syndrome. [Core Expansion 2, Party Box]
Airline Food	Since when is a bag of peanuts considered a meal? [Core Expansion 1, Party Box]
Airplanes	I want to sit by the window! [Kids Set]
Al Pacino	1940- , Oscar winning American actor and star of "The Godfather," "Dog Day Afternoon" and "Scent Of A Woman." One very intense guy. [Core Expansion 1, Party Box]
Alan Greenspan	1926-, chairman of the U.S. Federal Reserve Board. [Core Expansion 3, Party Box Expansion 1]
Albert Einstein	1879-1855, German-born American physicist and Nobel laureate who created theories of relativity. Nice hair. [Core Set, Party Box]
Alfred Hitchcock	1899-1980, British-born American director and producer of brilliant psychological thrillers. Right, mother? MOTHER! [Core Set, Party Box]
Alien Abductions	There was a blinding light -and she was gone! [Core Expansion 1, Party Box]
Alligators	Large reptiles with strong jaws and long tails. Their skins are made into shoes and purses. [Junior Set (1st) & (2nd)]
AM & FM	Making waves in radio. [Core Expansion 4, Party Box Expansion 1]
Americans	How many Americans does it take to screw in a light bulb? THAT'S NOT FUNNY! WE'RE SUING! [Core Set, Party Box]
Amputations	"A SCRATCH? Your arm's off!" - Monty Python and the Holy Grail. [Core Expansion 2, Party Box]
Amsterdam	The capital of the Netherlands, and one of Europe's most beautiful and notorious cities. [Core Expansion 3, Party Box Expansion 1]
Ancient Rome	In ancient times, all roads led to Rome, and the traffic has only gotten worse. [Core Expansion 3, Party Box Expansion 1]
Andy Warhol	1928-87, American painter and filmmaker, a leader of the pop art movement. Famous for slightly more than 15 minutes. [Core Set, Party Box]
Angry Hornets	Who put the bees in their bonnets?. [Core Expansion 2, Party Box]
Anna & The King	The 1999 film romanticizing the story of Anna Leonowens and King Mongkut of Siam. [Core Expansion 4, Party Box Expansion 1]
Anna Kournikova	1981-, Russian-born star of the tennis court and internet. [Core Expansion 3, Party Box Expansion 1]
Anne Frank	1929-45, German Jewish girl who wrote in her diary about her family hiding from the Nazis. She died in a concentration camp. [Core Set, Party Box]
Anthony Hopkins	1937- , British actor starred in The Elephant Man, Howard's End, and, of course, The Silence Of The Lambs. Knighted in 1992. [Core Expansion 2, Party Box]
Anthrax	A potentially deadly infectious disease caused by spore bacteria. Anthrax has been developed as a biological weapon. [Core Expansion 3, Party Box Expansion 1]
Antiques Roadshow	PBS television program where folks bring oddities for appraisal. One person's trash is another one's treasure. [Core Expansion 3, Party Box Expansion 1]
Antony & Cleopatra	Roman general and Egyptian queen. A love affair that wouldn't die. Oh, wait, it did. [Core Expansion 4, Party Box Expansion 1]
Apple Juice	Baby's first juice. [Kids Set]
Apple Pie	It's as American as ... as ... something ... [Core Expansion 1, Party Box]
Apples	More than 40 million metric tons are produced worldwide every year. How 'bout them apples? [Core Set, Party Box]
Apples & Oranges	Don't even TRY to compare them. [Core Expansion 4, Party Box Expansion 1]
Aristotle	384-322 B.C., ancient Greek philosopher. His writings formed the foundation for much of today's philosophical and political thought. [Core Expansion 3, Party Box Expansion 1]
Arm & A Leg	Sure, they were free, but just try replacing them. [Core Expansion 4, Party Box Expansion 1]
Armadillo	Burrowing mammal with armor-like bony plat covering. Roadkill extraordinaire. [Core Expansion 3, Party Box Expansion 1]
Armed Robbery	You got your Robbery, your Armed Robbery, your Strong Armed Robbery, and, of course, the five finger discount. [Core Expansion 2, Party Box]
Arnold Schwarzenegger	1947-, Austrian born body-builder turned actor. "My body is like breakfast, lunch, and dinner. I don't think about it, I just have it." [Core Expansion 3, Party Box Expansion 1]
Aroma Therapy	Alternative medicine. Something's smelly about it. [Core Expansion 3, Party Box Expansion 1]
Arsenic & Old Lace	The hilarious dark comedy written by Joseph Kesselring, or the 1944 film adaptation by Frank Capra. [Core Expansion 4, Party Box Expansion 1]
Assault & Battery	That would be a single "A" battery. [Core Expansion 4, Party Box Expansion 1]
Assembly Lines	Faster. FASTER! [Core Expansion 2, Party Box]
At My Parent's House	Like never-never land, you're never seen as an adult here. [Core Set, Party Box]
